Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG,AvgOocystDurationDays,AvgNumSporozoitesPerVector,NumVectorsWithSporozoites_AA,NumVectorsWithSporozoites_GG,NumVectorsWithSporozoites_Other
0,340461476,X-a1:X-a1,2199,0,0,2199,0,0,76850,0,0,0,0,0
0,340461476,X-a1:X-a2,2160,0,0,2160,0,0,75100,0,0,0,0,0
0,340461476,X-a2:X-a1,2199,0,0,2199,0,0,78600,0,0,0,0,0
0,340461476,X-a2:X-a2,2191,0,0,2191,0,0,77550,0,0,0,0,0
1,340461476,X-a1:X-a1,1924,0,0,1924,0,2350,68200,0,0,0,0,0
1,340461476,X-a1:X-a2,1868,0,0,1868,0,2335,68650,0,0,0,0,0
1,340461476,X-a2:X-a1,1904,0,0,1904,0,2421,69550,0,0,0,0,0
1,340461476,X-a2:X-a2,1906,0,0,1906,0,2437,67400,0,0,0,0,0
2,340461476,X-a1:X-a1,1680,0,0,1680,0,3259,59900,0,0,0,0,0
2,340461476,X-a1:X-a2,1636,0,0,1636,0,3258,61350,0,0,0,0,0
2,340461476,X-a2:X-a1,1661,0,0,1661,0,3421,57150,0,0,0,0,0
2,340461476,X-a2:X-a2,1675,0,0,1675,0,3300,59200,0,0,0,0,0
3,340461476,X-a1:X-a1,1456,0,0,1456,0,4233,49225,0,0,0,0,0
3,340461476,X-a1:X-a2,1445,0,0,1445,0,4296,50775,0,0,0,0,0
3,340461476,X-a2:X-a1,1426,0,0,1426,0,4368,52075,0,0,0,0,0
3,340461476,X-a2:X-a2,1451,0,0,1451,0,4287,51325,0,0,0,0,0
4,340461476,X-a1:X-a1,1283,0,0,1283,0,5168,44750,0,0,0,0,0
4,340461476,X-a1:X-a2,1270,0,0,1270,0,5272,46600,0,0,0,0,0
4,340461476,X-a2:X-a1,1257,0,0,1257,0,5345,46100,0,0,0,0,0
4,340461476,X-a2:X-a2,1262,0,0,1262,0,5234,46350,0,0,0,0,0
5,340461476,X-a1:X-a1,1109,0,0,1109,0,6028,39825,0,0,0,0,0
5,340461476,X-a1:X-a2,1116,0,0,1116,0,6186,41225,0,0,0,0,0
5,340461476,X-a2:X-a1,1107,0,0,1107,0,6312,36875,0,0,0,0,0
5,340461476,X-a2:X-a2,1110,0,0,1110,0,6112,38275,0,0,0,0,0
6,340461476,X-a1:X-a1,962,0,0,962,0,6876,32750,0,0,0,0,0
6,340461476,X-a1:X-a2,983,0,0,983,0,7038,33350,0,0,0,0,0
6,340461476,X-a2:X-a1,956,0,0,956,0,7041,34700,0,0,0,0,0
6,340461476,X-a2:X-a2,959,0,0,959,0,6960,33800,0,0,0,0,0
7,340461476,X-a1:X-a1,862,0,0,862,0,7718,30075,0,0,0,0,0
7,340461476,X-a1:X-a2,838,0,0,838,0,7869,31675,0,0,0,0,0
7,340461476,X-a2:X-a1,828,0,0,828,0,7930,31375,0,0,0,0,0
7,340461476,X-a2:X-a2,839,0,0,839,0,7745,32075,0,0,0,0,0
8,340461476,X-a1:X-a1,752,0,0,752,0,8462,26850,0,0,0,0,0
8,340461476,X-a1:X-a2,736,0,0,736,0,8646,27700,0,0,0,0,0
