Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,26,0,913,0,0,913,882,0,0,65400,32700,0,0,0,0,0,0,87,0,0,55028.4,2985,6114.27,1,1,1,0,0,0
0,25,1,89,0,0,89,88,0,0,6600,3300,29,0,1,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,24,10,86,0,0,86,90,0,0,5200,2600,24,0,1,0,0,0,14,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,23,15,182,0,0,182,179,0,0,13800,6900,55,0,11,0,0,0,18,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,22,0,358,0,0,358,353,0,0,23600,11800,0,0,0,0,0,0,42,0,0,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,21,0,364,0,0,364,352,0,0,24200,12100,0,0,0,0,0,0,36,0,0,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,20,10,89,0,0,89,95,0,0,5600,2800,19,0,6,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,19,10,86,0,0,86,97,0,0,6000,3000,20,0,6,0,0,0,14,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,18,10,90,0,0,90,93,0,0,5400,2700,19,0,8,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,17,5,184,0,0,184,175,0,0,11200,5600,44,0,7,0,0,0,16,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,16,0,363,0,0,363,357,0,0,24400,12200,0,0,0,0,0,0,37,0,0,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,15,5,83,0,0,83,86,0,0,6200,3100,27,0,2,0,0,0,17,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,14,0,89,0,0,89,88,0,0,5000,2500,0,0,0,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,13,10,87,0,0,87,86,0,0,5800,2900,25,0,2,0,0,0,13,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,12,15,79,0,0,79,90,0,0,6600,3300,29,0,3,0,0,0,21,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,11,10,165,0,0,165,181,0,0,11600,5800,47,0,9,0,0,0,35,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,10,10,44,0,0,44,44,0,0,2600,1300,12,0,1,0,0,0,6,0,0,1375.71,74.625,152.857,1,1,1,0,0,0
0,9,10,91,0,0,91,95,0,0,4600,2300,20,0,2,0,0,0,9,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,8,10,87,0,0,87,86,0,0,5400,2700,20,0,5,0,0,0,13,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,7,0,90,0,0,90,94,0,0,6600,3300,0,0,0,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,6,10,89,0,0,89,89,0,0,7000,3500,28,0,7,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,5,15,47,0,0,47,48,0,0,3000,1500,11,0,3,0,0,0,3,0,0,1375.71,74.625,152.857,1,1,1,0,0,0
0,4,5,45,0,0,45,45,0,0,2600,1300,10,0,2,0,0,0,5,0,0,1375.71,74.625,152.857,1,1,1,0,0,0
0,3,1,91,0,0,91,88,0,0,5800,2900,22,0,6,0,0,0,9,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,2,10,90,0,0,90,89,0,0,7000,3500,29,0,4,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,1,5,90,0,0,90,93,0,0,5000,2500,18,0,5,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
1,26,0,815,0,0,815,796,0,30697,49800,24900,0,0,0,0,0,0,98,0,0,59163.2,1500.15,2831.69,1,0.160484,0.24263,0,0,0
1,25,1,82,0,0,82,83,0,2270,5400,2700,24,0,3,0,0,0,6,0,0,2238.16,80.7575,120.685,1,0.074625,0.109183,0,0,0
1,24,10,73,0,0,73,80,0,2856,5600,2800,20,0,4,0,0,0,11,0,0,1638.16,73.7575,141.685,1,0.106607,0.218367,0,0,0
1,23,16,174,0,0,174,153,0,6047,9400,4700,40,0,9,0,0,0,11,0,0,16390.8,337.787,772.423,1,0.207292,0.238838,0,0,0
1,22,0,306,0,0,306,287,0,10935,24600,12300,0,0,0,0,0,0,29,0,0,33981.6,744.575,1434.85,1,0.207292,0.305713,0,0,0
1,21,0,312,0,0,312,295,0,12167,24400,12200,0,0,0,0,0,0,48,0,0,32781.6,730.575,1416.85,1,0.213214,0.318451,0,0,0
1,20,10,87,0,0,87,86,0,2252,6000,3000,26,0,4,0,0,0,9,0,0,2238.16,86.7575,132.685,1,0.074625,0.169841,0,0,0
1,19,10,84,0,0,84,87,0,2252,5200,2600,20,0,5,0,0,0,4,0,0,2238.16,66.7575,152.685,1,0.0678409,0.152857,0,0,0
1,18,11,93,0,0,93,102,0,3021,6200,3100,27,0,4,0,0,0,11,0,0,1438.16,88.7575,161.685,1,0.14925,0.169841,0,0,0
1,17,5,190,0,0,190,190,0,5322,14200,7100,72,0,11,0,0,0,21,0,0,17190.8,345.787,689.423,1,0.233203,0.305713,0,0,0
1,16,0,302,0,0,302,308,0,11573,20400,10200,0,0,0,0,0,0,41,0,0,33381.6,777.575,1363.85,1,0.201689,0.305713,0,0,0
1,15,5,73,0,0,73,68,0,2268,3800,1900,14,0,3,0,0,0,5,0,0,2238.16,62.7575,140.685,1,0.0621875,0.152857,0,0,0
1,14,0,78,0,0,78,75,0,1852,6200,3100,0,0,0,0,0,0,4,0,0,2638.16,70.7575,148.685,1,0.074625,0.191071,0,0,0
1,13,8,71,0,0,71,92,0,2671,4400,2200,20,0,3,0,0,0,9,0,0,1838.16,69.7575,130.685,1,0.106607,0.138961,0,0,0
1,12,15,80,0,0,80,94,0,1857,6200,3100,26,0,5,0,0,0,12,0,0,2638.16,79.7575,134.685,1,0.0574038,0.117582,0,0,0
1,11,10,127,0,0,127,157,0,6446,9000,4500,38,0,8,0,0,0,17,0,0,15990.8,393.787,717.423,1,0.24875,0.347401,0,0,0
1,10,10,41,0,0,41,44,0,632,2000,1000,13,0,0,0,0,0,6,0,0,1619.08,38.3788,65.3424,1,0.124375,0.0955354,0,0,0
1,9,11,87,0,0,87,71,0,1250,6400,3200,25,0,6,0,0,0,7,0,0,3238.16,74.7575,146.685,1,0.0678409,0.191071,0,0,0
1,8,10,73,0,0,73,77,0,2649,4000,2000,20,0,4,0,0,0,5,0,0,1838.16,53.7575,168.685,1,0.106607,0.169841,0,0,0
1,7,0,96,0,0,96,88,0,2657,6200,3100,0,0,0,0,0,0,9,0,0,1838.16,82.7575,131.685,1,0.074625,0.127381,0,0,0
1,6,10,77,0,0,77,74,0,2672,5000,2500,22,0,4,0,0,0,18,0,0,1838.16,68.7575,130.685,1,0.0678409,0.117582,0,0,0
1,5,15,45,0,0,45,44,0,1236,3000,1500,11,0,3,0,0,0,5,0,0,1019.08,23.3788,76.3424,1,0.0621875,0.191071,0,0,0
1,4,5,50,0,0,50,42,0,1235,3200,1600,13,0,2,0,0,0,4,0,0,1019.08,35.3788,65.3424,1,0.0932812,0.191071,0,0,0
1,3,1,83,0,0,83,78,0,2656,5600,2800,26,0,2,0,0,0,7,0,0,1838.16,72.7575,142.685,1,0.0932812,0.152857,0,0,0
1,2,9,69,0,0,69,85,0,2875,4800,2400,21,0,4,0,0,0,17,0,0,1638.16,63.7575,132.685,1,0.0678409,0.127381,0,0,0
1,1,5,82,0,0,82,79,0,2079,5600,2800,26,0,3,0,0,0,7,0,0,2438.16,61.7575,130.685,1,0.14925,0.127381,0,0,0
2,26,20,728,0,0,728,704,0,46973,48200,24100,573,0,84,0,0,0,87,0,0,71060.3,1701.6,3264.92,1,0.0974123,0.144474,0,0,0
2,25,1,71,0,0,71,62,0,3680,3400,1700,14,0,3,0,0,0,8,0,0,2230.02,74.5299,165.446,1,0.0504734,0.0502853,0,0,0
2,24,10,84,0,0,84,82,0,4439,7000,3500,28,0,6,0,0,0,4,0,0,1497.02,73.5299,140.446,0.819081,0.0614646,0.0590353,0,0,0
2,23,15,134,0,0,134,143,0,8990,8600,4300,39,0,7,0,0,0,20,0,0,20488.1,443.65,828.231,1,0.0734321,0.321843,0,0,0
2,22,0,256,0,0,256,241,0,18725,13200,6600,0,0,0,0,0,0,29,0,0,40238.2,875.299,1661.46,1,0.0979704,0.137966,0,0,0
2,21,0,254,0,0,254,258,0,20993,15600,7800,0,0,0,0,0,0,43,0,0,38026.2,859.299,1621.46,1,0.0961283,0.157427,0,0,0
2,20,10,82,0,0,82,79,0,3455,5200,2600,22,0,5,0,0,0,4,0,0,2443.02,77.5299,174.446,1,0.036149,0.0552853,0,0,0
2,19,1,76,0,0,76,91,0,3862,6200,3100,26,0,4,0,0,0,6,0,0,2053.02,81.5299,153.446,1,0.0476839,0.0694021,0,0,0
2,18,0,103,0,0,103,106,0,4148,7400,3700,0,0,0,0,0,0,20,0,0,1732.02,97.5299,172.446,1,0.0554734,0.0475543,0,0,0
2,17,5,171,0,0,171,172,0,10027,9800,4900,58,0,11,0,0,0,21,0,0,19440.1,438.65,844.231,1,0.0960521,0.107722,0,0,0
2,16,0,255,0,0,255,258,0,17976,17600,8800,0,0,0,0,0,0,26,0,0,40982.2,798.299,1743.46,1,0.125415,0.154983,0,0,0
2,15,5,69,0,0,69,61,0,3464,5400,2700,22,0,4,0,0,0,7,0,0,2436.02,82.5299,167.446,1,0.0448268,0.117237,0,0,0
2,14,0,70,0,0,70,69,0,3697,4200,2100,0,0,0,0,0,0,7,0,0,2216.02,80.5299,156.446,1,0.0393097,0.0571864,0,0,0
