Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected
0,340461476,1000,8759,0,0,8759,8983,0,0,612400,306200,2919,0,0,0,0,0,948,293,0,19487.5,1,0,0,0,0,0,0,0,2919,0,0,0,0,0,0,0,0
1,340461476,1000,7645,0,0,7645,8170,0,19548,542200,271100,2573,0,0,0,0,0,860,254,0,9159.76,0.0318215,0,0,0,7645,0,0,0,2573,0,0,0,0,0,0,0,0
2,340461476,1000,6714,0,0,6714,7395,0,26794,482000,241000,2292,0,0,0,0,0,680,251,0,10801.8,0.0168937,0,0,0,6714,0,0,0,2292,0,0,0,0,0,0,0,0
3,340461476,1000,5849,0,0,5849,6636,0,34987,416000,208000,1954,0,0,0,0,0,660,205,0,11176.6,0.0224104,0,0,0,5849,0,0,0,1954,0,0,0,0,0,0,0,0
4,340461476,1000,5109,0,0,5109,6032,0,42845,369400,184700,1766,0,0,0,0,0,573,167,0,11577.7,0.0268669,0,0,0,5109,0,0,0,1766,0,0,0,0,0,0,0,0
5,340461476,1000,4485,0,0,4485,5456,0,50548,314000,157000,1499,0,0,0,0,0,481,143,0,11836.1,0.0313419,0,0,0,4485,0,0,0,1499,0,0,0,0,0,0,0,0
6,340461476,1000,3939,0,0,3939,4950,0,57523,276400,138200,1309,0,0,0,0,0,406,140,0,12535.7,0.0376947,0,0,0,3939,0,0,0,1309,0,0,0,0,0,0,0,0
7,340461476,1000,3432,0,0,3432,4527,0,64466,254200,127100,1218,0,0,0,0,0,380,127,0,12990.8,0.0453536,0,0,0,3432,0,0,0,1218,0,0,0,0,0,0,0,0
8,340461476,1000,2984,0,0,2984,4123,0,71241,208400,104200,987,0,0,0,0,0,342,106,0,13347.2,0.0511045,0,0,0,2984,0,0,0,987,0,0,0,0,0,0,0,0
9,340461476,1000,2606,0,0,2606,3709,0,77834,188400,94200,901,0,0,0,0,0,283,95,0,13628.7,0.0640462,0,0,0,2606,0,0,0,901,0,0,0,0,0,0,0,0
10,340461476,1000,2277,0,0,2277,3348,0,84240,163600,81800,765,0,0,0,0,0,253,76,0,13849.5,0.0723393,0,0,0,2277,0,0,0,765,0,0,0,0,0,0,0,0
11,340461476,1000,1990,0,0,1990,3053,0,90054,143400,71700,680,0,0,0,0,0,213,74,0,14423.5,0.0846547,0,0,0,1990,0,0,0,680,0,0,0,0,0,0,0,0
12,340461476,1000,1731,0,0,1731,2749,0,95633,123200,61600,579,0,0,0,0,0,203,56,0,15002.3,0.100582,0,0,0,1731,0,0,0,579,0,0,0,0,0,0,0,0
13,340461476,1000,1520,0,0,1520,2489,0,101499,109200,54600,512,0,0,0,0,0,167,44,0,15072.2,0.121772,0,0,0,1520,0,0,0,512,0,0,0,0,0,0,0,0
14,340461476,1000,1338,0,0,1338,2270,0,106828,95000,47500,448,0,0,0,0,0,139,43,0,15465.3,0.138024,0,0,0,1338,0,0,0,448,0,0,0,0,0,0,0,0
15,340461476,1000,1176,0,0,1176,2077,0,112189,79000,39500,378,0,0,0,0,0,132,30,0,15620.1,0.162793,0,0,0,1176,0,0,0,378,0,0,0,0,0,0,0,0
16,340461476,1000,1030,0,0,1030,1863,0,117013,76000,38000,357,0,0,0,0,0,111,35,0,16113.2,0.197723,0,0,0,1030,0,0,0,357,0,0,0,0,0,0,0,0
17,340461476,1000,915,0,0,915,1695,0,121843,63400,31700,292,0,0,0,0,0,97,18,0,16408.7,0.212016,0,0,0,915,0,0,0,292,0,0,0,0,0,0,0,0
18,340461476,1000,818,0,0,818,1520,0,126545,54200,27100,256,0,0,0,0,0,69,28,0,16647.5,0.258813,0,0,0,818,0,0,0,256,0,0,0,0,0,0,0,0
19,340461476,1000,699,0,0,699,1371,0,131035,52800,26400,256,0,0,0,0,0,97,22,0,16920.3,0.30715,0,0,0,699,0,0,0,256,0,0,0,0,0,0,0,0
20,340461476,1000,614,0,0,614,1239,0,135621,44600,22300,214,0,0,0,0,0,67,18,0,16925.5,0.320461,0,0,0,614,0,0,0,214,0,0,0,0,0,0,0,0
21,340461476,1000,526,0,0,526,1132,0,139797,33600,16800,163,0,0,0,0,0,68,20,0,17175.2,0.379495,0,0,0,526,0,0,0,163,0,0,0,0,0,0,0,0
22,340461476,1000,461,0,0,461,1019,0,143883,35200,17600,168,0,0,0,0,0,48,17,0,17355.5,0.511167,0,0,0,461,0,0,0,168,0,0,0,0,0,0,0,0
23,340461476,1000,409,0,0,409,923,2167,145292,31200,15600,152,0,0,0,0,0,37,15,0,20059,0.493053,0,0,0,409,0,0,0,152,0,0,0,0,0,0,0,0
24,340461476,1000,356,0,0,356,837,2935,150700,21600,10800,102,0,0,0,0,0,43,10,0,18615.3,0.642916,0,0,0,356,0,0,0,102,0,0,0,0,0,0,0,0
25,340461476,1000,306,0,0,306,755,3866,153831,23200,11600,113,0,0,0,0,0,39,11,0,19305.8,0.861819,0,0,0,306,0,0,0,113,0,0,0,0,0,0,0,0
26,340461476,1000,266,0,0,266,668,4726,157190,20000,10000,98,0,0,0,0,0,32,8,0,19630.6,0.832146,0,0,0,266,0,0,0,98,0,0,0,0,0,0,0,0
27,340461476,1000,950,0,0,950,1357,4138,160476,16000,8000,78,0,0,0,707,0,19,4,0,19895.6,0.981528,0,0,0,950,0,0,0,78,0,0,0,0,0,0,0,0
28,340461476,1000,1127,0,0,1127,1546,4422,159846,13800,6900,657,0,0,0,348,0,114,57,0,23948.7,1,0,0,0,1127,0,0,0,657,0,0,0,0,0,0,0,0
29,340461476,1000,1373,0,0,1373,1795,4574,156840,13200,6600,356,0,0,0,399,0,112,41,0,30254.5,1,0,0,0,1373,0,0,0,356,0,0,0,0,0,0,0,0
30,340461476,1000,1587,0,0,1587,2047,4715,153911,11400,5700,394,0,0,0,407,0,156,37,0,36364.3,1,0,0,0,1587,0,0,0,394,0,0,0,0,0,0,0,0
31,340461476,1000,1800,0,0,1800,2307,4802,149024,91800,45900,801,0,0,0,426,0,145,68,0,44317.5,1,0,0,0,1800,0,0,0,801,0,0,0,0,0,0,0,0
32,340461476,1000,1999,0,0,1999,2577,5005,177443,48600,24300,609,0,0,0,428,0,173,56,0,18854.2,0.482762,0,0,0,1999,0,0,0,609,0,0,0,0,0,0,0,0
33,340461476,1000,2205,0,0,2205,2791,5180,178004,53800,26900,626,0,0,0,463,0,193,64,0,21142.5,0.387948,0,0,0,2205,0,0,0,626,0,0,0,0,0,0,0,0
34,340461476,1000,2381,0,0,2381,3014,5336,180609,114600,57300,943,0,0,0,456,0,185,95,0,21284,0.392983,0,0,0,2381,0,0,0,943,0,0,0,0,0,0,0,0
35,340461476,1000,2531,0,0,2531,3253,5542,183295,87600,43800,825,0,0,0,453,0,235,68,0,21245.6,0.185725,0,0,0,2531,0,0,0,825,0,0,0,0,0,0,0,0
36,340461476,1000,2722,0,0,2722,3494,5574,185733,85200,42600,792,0,0,0,538,0,254,93,0,21359.8,0.24253,0,0,0,2722,0,0,0,792,0,0,0,0,0,0,0,0
37,340461476,1000,2888,0,0,2888,3724,5640,187709,131200,65600,1080,0,0,0,525,0,247,112,0,21844.1,0.250702,0,0,0,2888,0,0,0,1080,0,0,0,0,0,0,0,0
38,340461476,1000,3008,0,0,3008,3851,5812,190029,121000,60500,1035,0,0,0,536,0,290,126,0,21895.7,0.166495,0,0,0,3008,0,0,0,1035,0,0,0,0,0,0,0,0
